               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11335,            0.072909,            0.039566,             0.01687,            0.097375,            0.011835,           0.0020217,            0.093523,            0.085109,            0.035431,             0.00041,             0.00041,             0.09631
                   1,            0.096161,            0.085413,            0.032548,              0.1486,             0.30284,               0.105,            0.019699,            0.082446,            0.076612,            0.026011,          0.00082998,          0.00082998,             0.09253
                   2,            0.084695,            0.075901,            0.023906,             0.72849,             0.35627,             0.35448,             0.10699,            0.070117,            0.070897,            0.016458,           0.0012499,           0.0012499,             0.08875
                   3,            0.074977,            0.070999,            0.016972,              0.4879,             0.48915,             0.46129,             0.14096,            0.063438,            0.064242,            0.011348,           0.0016696,           0.0016696,             0.08497
                   4,            0.075304,            0.064912,            0.012434,             0.49096,             0.55523,             0.50002,             0.16351,            0.067417,            0.055574,           0.0084818,           0.0020892,           0.0020892,            0.081189
                   5,            0.072095,            0.061583,           0.0095101,             0.37161,             0.61987,             0.42602,            0.096035,            0.065816,            0.051608,           0.0054864,           0.0025085,           0.0025085,            0.077408
                   6,            0.068718,            0.058295,            0.007167,             0.49399,             0.71173,             0.59889,             0.21322,            0.058068,            0.051172,            0.004326,           0.0029274,           0.0029274,            0.073627
                   7,            0.065943,            0.058635,           0.0061119,             0.56324,             0.65348,             0.63509,             0.24049,            0.056251,            0.048829,           0.0038382,            0.003346,            0.003346,            0.069846
                   8,            0.063215,            0.055679,           0.0054824,             0.74927,             0.73038,             0.78169,              0.3325,            0.050916,             0.04761,           0.0035219,           0.0037641,           0.0037641,            0.066064
                   9,            0.060716,            0.053996,           0.0051997,              0.6433,             0.76912,             0.73586,             0.34242,            0.048719,            0.046865,           0.0035435,           0.0041816,           0.0041816,            0.062282
                  10,            0.056221,            0.053192,           0.0046019,             0.63955,             0.76796,             0.77826,             0.29626,            0.046652,            0.046147,           0.0032144,           0.0045986,           0.0045986,            0.058499
                  11,            0.056865,            0.053475,           0.0044754,             0.54379,             0.76374,             0.69707,             0.19302,            0.059129,            0.044748,           0.0030895,            0.005015,            0.005015,            0.054715
                  12,            0.061453,             0.05013,           0.0045837,             0.71964,             0.84223,             0.85055,             0.43083,             0.04393,            0.044487,            0.003388,           0.0054307,           0.0054307,            0.050931
                  13,            0.056887,            0.052931,           0.0046144,             0.85684,              0.8787,             0.89422,             0.44834,            0.042144,             0.04421,           0.0034394,           0.0058456,           0.0058456,            0.047146
                  14,             0.05257,            0.052263,           0.0042625,             0.75833,             0.82927,             0.85407,             0.42616,            0.040737,            0.043351,           0.0035972,           0.0062596,           0.0062596,             0.04336
                  15,            0.051842,            0.049694,           0.0041948,             0.87563,             0.87756,             0.91064,             0.49555,            0.038468,            0.043258,           0.0032501,           0.0066728,           0.0066728,            0.039573
                  16,            0.049471,            0.050981,           0.0038476,             0.86438,             0.86398,             0.88896,             0.45711,            0.040697,             0.04268,           0.0029361,           0.0070851,           0.0070851,            0.035785
                  17,            0.052338,            0.050636,           0.0039697,             0.91411,             0.89551,             0.92891,             0.53688,            0.037135,            0.042402,           0.0028808,           0.0074963,           0.0074963,            0.031996
                  18,            0.048133,            0.048222,           0.0036303,             0.91325,             0.89982,              0.9344,             0.55852,            0.034988,            0.042579,           0.0026449,           0.0079065,           0.0079065,            0.028206
                  19,            0.047131,            0.049849,           0.0037639,             0.78742,             0.78111,             0.82917,              0.3913,             0.05009,            0.043173,           0.0028175,           0.0083155,           0.0083155,            0.024416
                  20,            0.051083,            0.047754,            0.003587,             0.84997,             0.89648,             0.89243,             0.49606,            0.036978,            0.041813,           0.0026091,           0.0087234,           0.0087234,            0.020623
                  21,            0.047613,            0.050958,           0.0039154,             0.84004,              0.9035,             0.92697,             0.47392,            0.038678,            0.043446,           0.0026778,             0.00913,             0.00913,             0.01683
                  22,            0.045847,            0.047934,           0.0034472,             0.90767,             0.93028,             0.94024,             0.55332,             0.03385,            0.042012,           0.0028343,           0.0095353,           0.0095353,            0.013035
                  23,            0.045277,            0.047841,            0.003526,             0.89477,             0.93136,             0.93731,             0.50068,            0.038078,            0.043171,           0.0023717,           0.0098701,           0.0098701,           0.0098701
                  24,            0.044325,             0.04899,           0.0032388,             0.89782,             0.89944,              0.9312,             0.51541,            0.035829,            0.042109,           0.0024263,           0.0098701,           0.0098701,           0.0098701
                  25,            0.043259,            0.046447,           0.0030626,             0.89114,             0.88764,             0.93419,             0.52154,            0.036594,            0.041391,           0.0021843,           0.0098586,           0.0098586,           0.0098586
                  26,            0.040758,            0.045272,           0.0029266,             0.91818,             0.92324,             0.94481,              0.5668,            0.033198,            0.040766,           0.0020696,           0.0098467,           0.0098467,           0.0098467
                  27,            0.042037,            0.046632,           0.0029779,             0.91516,             0.93171,              0.9424,             0.57917,              0.0338,            0.040798,           0.0021435,           0.0098342,           0.0098342,           0.0098342
                  28,            0.039144,            0.044674,           0.0027455,             0.92451,             0.93282,             0.95127,             0.58022,            0.030997,             0.04021,            0.002186,           0.0098213,           0.0098213,           0.0098213
                  29,            0.039576,            0.046156,           0.0027338,             0.90005,             0.89367,             0.92131,             0.49333,            0.036696,            0.040964,           0.0021258,           0.0098079,           0.0098079,           0.0098079
                  30,            0.039756,            0.045075,           0.0025681,             0.91751,             0.93862,             0.94725,             0.58748,            0.030768,            0.040115,           0.0019621,           0.0097941,           0.0097941,           0.0097941
                  31,             0.04009,            0.045487,           0.0023991,             0.91621,             0.92263,             0.94441,             0.56268,            0.033026,            0.040035,           0.0017616,           0.0097798,           0.0097798,           0.0097798
                  32,            0.037544,            0.045328,           0.0024445,             0.92082,              0.9257,             0.95152,             0.59546,            0.030934,            0.039712,            0.001819,            0.009765,            0.009765,            0.009765
                  33,            0.038242,             0.04505,           0.0022605,             0.91457,             0.94583,             0.95428,             0.60149,            0.031861,            0.039232,           0.0016567,           0.0097497,           0.0097497,           0.0097497
                  34,            0.035307,            0.044902,           0.0023172,             0.92288,             0.93965,             0.95793,             0.59958,            0.030231,             0.03931,           0.0021095,            0.009734,            0.009734,            0.009734
                  35,            0.036716,            0.045963,           0.0023245,             0.93107,             0.92975,             0.95537,             0.60484,            0.030689,            0.039509,           0.0016605,           0.0097178,           0.0097178,           0.0097178
                  36,            0.034711,            0.045497,           0.0023885,             0.93275,             0.92865,             0.95197,              0.6249,            0.028893,            0.039054,           0.0020297,           0.0097011,           0.0097011,           0.0097011
                  37,              0.0346,            0.044288,           0.0022463,             0.92941,             0.91896,             0.94996,             0.61323,            0.030117,            0.038971,           0.0016054,            0.009684,            0.009684,            0.009684
                  38,            0.036101,            0.045147,           0.0020975,             0.93509,             0.93325,             0.95492,             0.62896,            0.029193,            0.038681,           0.0015504,           0.0096664,           0.0096664,           0.0096664
                  39,            0.036019,            0.044179,           0.0021394,             0.92374,             0.93642,             0.95773,             0.61956,            0.029651,            0.038757,           0.0016221,           0.0096484,           0.0096484,           0.0096484
                  40,            0.033489,             0.04405,           0.0020543,             0.93933,             0.93469,             0.96119,             0.64451,            0.028166,            0.038581,            0.001735,           0.0096299,           0.0096299,           0.0096299
                  41,            0.033583,            0.043219,            0.002204,             0.92377,             0.94193,             0.96189,             0.63365,            0.029131,            0.038498,           0.0016378,            0.009611,            0.009611,            0.009611
                  42,            0.033355,            0.044922,            0.002078,              0.9376,             0.94163,             0.96505,             0.63573,            0.028286,            0.038635,           0.0017536,           0.0095916,           0.0095916,           0.0095916
                  43,            0.034566,            0.044095,           0.0021043,             0.92322,             0.94408,             0.96034,             0.63237,            0.029003,            0.038306,           0.0016299,           0.0095717,           0.0095717,           0.0095717
                  44,            0.032689,            0.044142,           0.0019454,             0.93287,             0.94547,             0.96031,             0.64062,            0.028382,            0.038367,           0.0015514,           0.0095514,           0.0095514,           0.0095514
                  45,            0.033167,            0.042883,           0.0020066,             0.94226,             0.93793,             0.95937,             0.63613,            0.028791,            0.038012,            0.001741,           0.0095307,           0.0095307,           0.0095307
                  46,            0.033348,            0.043798,           0.0022215,             0.94182,             0.94192,              0.9625,             0.64475,            0.027615,             0.03818,           0.0016736,           0.0095095,           0.0095095,           0.0095095
                  47,            0.032486,            0.042657,           0.0019488,             0.94701,             0.93063,             0.95797,             0.63455,             0.02891,            0.038225,           0.0015492,           0.0094879,           0.0094879,           0.0094879
                  48,            0.031863,            0.042288,           0.0019078,             0.94089,             0.93298,             0.95993,             0.65309,            0.027337,            0.037842,           0.0015167,           0.0094659,           0.0094659,           0.0094659
                  49,            0.032742,            0.041411,           0.0019591,             0.94242,             0.93519,             0.96288,             0.62284,            0.029049,            0.037867,           0.0014373,           0.0094434,           0.0094434,           0.0094434
                  50,            0.032603,            0.041097,           0.0019099,             0.94457,               0.932,             0.96411,             0.65462,            0.027422,            0.038131,           0.0015248,           0.0094205,           0.0094205,           0.0094205
                  51,            0.032273,            0.041461,           0.0018847,             0.93465,             0.94632,             0.96324,             0.64113,            0.028822,            0.037973,           0.0014735,           0.0093971,           0.0093971,           0.0093971
                  52,            0.032507,            0.040863,           0.0017581,             0.93703,             0.94715,             0.96542,             0.65738,             0.02723,            0.038242,            0.001359,           0.0093733,           0.0093733,           0.0093733
                  53,            0.032122,            0.041382,           0.0018149,             0.94433,             0.93493,             0.95956,             0.62249,             0.02882,             0.03799,           0.0014332,           0.0093491,           0.0093491,           0.0093491
                  54,            0.031136,            0.041363,           0.0018121,             0.95073,             0.93576,             0.96331,             0.66064,            0.026926,            0.037788,           0.0014222,           0.0093245,           0.0093245,           0.0093245
                  55,             0.03188,            0.041551,           0.0018449,             0.94403,             0.93793,             0.96073,             0.64626,            0.027272,            0.037912,           0.0013567,           0.0092995,           0.0092995,           0.0092995
                  56,            0.029758,            0.040845,           0.0018431,             0.93097,              0.9413,             0.96124,             0.66026,            0.026618,            0.037436,           0.0014798,            0.009274,            0.009274,            0.009274
                  57,            0.030192,            0.040427,           0.0017899,             0.93027,             0.94782,             0.96205,              0.6652,            0.026241,            0.037315,           0.0014905,           0.0092481,           0.0092481,           0.0092481
                  58,            0.030053,            0.040721,           0.0017088,             0.94562,             0.93931,             0.96323,             0.65856,            0.026457,            0.037713,           0.0013113,           0.0092219,           0.0092219,           0.0092219
                  59,            0.030517,            0.041443,           0.0016809,             0.94831,             0.93818,             0.96247,             0.66552,            0.026493,            0.037501,           0.0014188,           0.0091952,           0.0091952,           0.0091952
                  60,            0.030011,            0.039752,           0.0017076,             0.93779,             0.94907,             0.96363,             0.65751,            0.026686,            0.037229,           0.0013445,           0.0091681,           0.0091681,           0.0091681
                  61,            0.030031,            0.040814,           0.0016276,             0.94378,             0.94723,             0.96726,             0.66238,            0.026723,            0.037246,           0.0013878,           0.0091406,           0.0091406,           0.0091406
                  62,            0.029385,            0.040207,           0.0016859,             0.94361,             0.94886,             0.96645,             0.67768,            0.026133,            0.037242,           0.0014168,           0.0091127,           0.0091127,           0.0091127
                  63,            0.030611,             0.03988,           0.0016887,             0.95088,             0.93133,             0.96221,             0.66698,            0.026984,             0.03725,           0.0013039,           0.0090844,           0.0090844,           0.0090844
                  64,            0.030296,            0.039521,            0.001788,             0.94965,             0.94731,             0.96929,             0.67303,            0.026438,            0.037328,           0.0015743,           0.0090557,           0.0090557,           0.0090557
                  65,            0.030005,            0.039324,           0.0016825,             0.94585,             0.94612,             0.96652,              0.6677,            0.026723,            0.036957,           0.0013277,           0.0090266,           0.0090266,           0.0090266
                  66,            0.030801,             0.04055,           0.0015383,             0.95206,             0.94229,             0.96386,             0.67548,            0.026294,            0.037397,           0.0012943,           0.0089972,           0.0089972,           0.0089972
                  67,            0.029714,            0.040544,           0.0018781,             0.94926,             0.93827,             0.96232,             0.66732,            0.026461,            0.037411,           0.0014748,           0.0089673,           0.0089673,           0.0089673
                  68,            0.029139,            0.039566,           0.0016005,             0.94454,             0.95107,             0.96487,             0.67176,            0.026255,            0.036881,           0.0013822,           0.0089371,           0.0089371,           0.0089371
                  69,            0.029097,            0.040899,           0.0016639,             0.94704,             0.94528,             0.96509,             0.67101,            0.026274,            0.037086,           0.0014408,           0.0089065,           0.0089065,           0.0089065
                  70,            0.029178,            0.039274,           0.0015684,             0.93867,             0.94462,             0.96722,             0.67316,            0.026361,            0.037219,           0.0013528,           0.0088755,           0.0088755,           0.0088755
                  71,            0.029041,            0.039017,           0.0015734,             0.94498,              0.9462,             0.96905,             0.67068,            0.026364,            0.037209,           0.0013855,           0.0088442,           0.0088442,           0.0088442
                  72,            0.028585,            0.039432,           0.0016508,             0.94799,             0.94433,             0.96644,             0.67801,            0.025828,            0.036969,           0.0013122,           0.0088124,           0.0088124,           0.0088124
                  73,            0.029385,            0.039299,           0.0015105,             0.94688,             0.94079,             0.96422,             0.65988,            0.026916,            0.037482,           0.0014307,           0.0087804,           0.0087804,           0.0087804
                  74,             0.03004,            0.040546,           0.0015756,             0.95447,             0.94272,             0.97108,             0.66272,            0.026875,            0.037295,           0.0012769,           0.0087479,           0.0087479,           0.0087479
                  75,            0.030107,            0.040446,           0.0015446,             0.95279,              0.9329,              0.9643,             0.67341,            0.026253,            0.037532,           0.0013228,           0.0087151,           0.0087151,           0.0087151
                  76,            0.028603,            0.040953,           0.0015897,              0.9464,             0.94162,              0.9676,             0.67975,            0.025495,            0.036849,            0.001276,            0.008682,            0.008682,            0.008682
                  77,            0.028909,            0.039265,           0.0014521,             0.95247,             0.93935,             0.96576,             0.67269,            0.026197,            0.037211,           0.0012387,           0.0086485,           0.0086485,           0.0086485
                  78,            0.027961,            0.038008,           0.0014473,              0.9582,             0.93318,             0.96474,             0.68232,            0.025468,            0.037338,           0.0013021,           0.0086146,           0.0086146,           0.0086146
                  79,            0.028965,            0.038272,            0.001579,              0.9446,             0.94995,             0.96644,             0.67514,            0.026018,            0.037086,           0.0014149,           0.0085805,           0.0085805,           0.0085805
                  80,            0.028875,            0.038995,           0.0015068,             0.94036,             0.95037,             0.96496,             0.67032,            0.026276,            0.037049,           0.0012695,           0.0085459,           0.0085459,           0.0085459
                  81,            0.028614,            0.038078,            0.001429,             0.94878,             0.94533,              0.9621,             0.66868,            0.025835,            0.037445,           0.0013383,           0.0085111,           0.0085111,           0.0085111
                  82,            0.028397,            0.038756,           0.0015038,             0.94779,             0.94709,             0.96536,             0.67431,            0.025601,            0.037136,           0.0013214,           0.0084759,           0.0084759,           0.0084759
                  83,            0.028895,            0.040022,           0.0014606,             0.95392,              0.9448,              0.9671,             0.67759,            0.025938,             0.03709,           0.0011998,           0.0084404,           0.0084404,           0.0084404
                  84,            0.028432,            0.038715,           0.0015114,             0.95486,              0.9454,             0.96798,             0.67739,            0.025729,            0.036783,           0.0013123,           0.0084046,           0.0084046,           0.0084046
                  85,            0.027512,            0.038382,           0.0015089,             0.95606,             0.94349,             0.96682,             0.68025,            0.025302,            0.036478,           0.0013169,           0.0083684,           0.0083684,           0.0083684
                  86,            0.027394,            0.038539,           0.0013842,             0.95094,             0.94254,             0.96724,             0.68477,            0.025348,            0.036707,           0.0012128,           0.0083319,           0.0083319,           0.0083319
                  87,             0.02877,            0.038385,           0.0013649,             0.94278,             0.95143,             0.96536,             0.68186,            0.025421,             0.03702,           0.0011161,           0.0082952,           0.0082952,           0.0082952
                  88,            0.027568,            0.037436,           0.0013218,             0.95347,              0.9398,             0.96852,             0.68526,            0.025106,            0.036806,           0.0011742,           0.0082581,           0.0082581,           0.0082581
                  89,            0.027175,            0.038353,           0.0014562,             0.95076,             0.94692,             0.96895,             0.68898,            0.025122,            0.036811,           0.0012466,           0.0082207,           0.0082207,           0.0082207
                  90,            0.027667,            0.037942,           0.0014073,             0.95371,             0.93831,             0.96691,             0.68553,            0.025013,            0.036711,            0.001223,            0.008183,            0.008183,            0.008183
                  91,            0.027247,            0.037364,           0.0014197,             0.95365,             0.94458,             0.96786,             0.69283,            0.025004,            0.036717,           0.0013171,            0.008145,            0.008145,            0.008145
                  92,             0.02876,            0.039982,           0.0015354,             0.94973,              0.9445,             0.96545,             0.68663,            0.025246,            0.037015,           0.0013084,           0.0081068,           0.0081068,           0.0081068
                  93,            0.027594,            0.037907,            0.001303,             0.95728,             0.94582,             0.96773,             0.68557,            0.025288,            0.036865,           0.0012592,           0.0080682,           0.0080682,           0.0080682
                  94,            0.027419,            0.037691,           0.0013783,             0.95203,             0.93938,             0.96651,             0.68466,             0.02509,            0.036925,           0.0012683,           0.0080294,           0.0080294,           0.0080294
                  95,            0.027479,            0.037647,            0.001403,             0.94098,             0.95976,             0.96861,             0.69171,            0.025032,            0.036469,           0.0012307,           0.0079903,           0.0079903,           0.0079903
                  96,            0.027604,            0.038517,           0.0014184,             0.94554,             0.95724,             0.97043,             0.68468,            0.025093,            0.036371,            0.001173,           0.0079509,           0.0079509,           0.0079509
                  97,            0.027521,            0.037906,           0.0013617,             0.94515,             0.95506,             0.97225,             0.68645,            0.025332,            0.036562,           0.0011496,           0.0079112,           0.0079112,           0.0079112
                  98,            0.027141,            0.038559,           0.0013266,               0.947,             0.94805,             0.96813,             0.69281,            0.024839,            0.036585,           0.0011845,           0.0078713,           0.0078713,           0.0078713
                  99,            0.026482,            0.037424,            0.001369,             0.94847,             0.94135,              0.9673,              0.6899,            0.025389,            0.036796,           0.0012766,           0.0078311,           0.0078311,           0.0078311
                 100,            0.026735,            0.038928,           0.0013647,             0.95092,             0.95044,             0.96948,             0.69074,            0.024978,            0.036479,           0.0011918,           0.0077907,           0.0077907,           0.0077907
                 101,            0.026456,            0.036553,           0.0013156,             0.95172,             0.94774,             0.96959,              0.6888,            0.025033,             0.03669,           0.0012859,             0.00775,             0.00775,             0.00775
                 102,            0.025997,             0.03654,           0.0013449,             0.95813,             0.93896,             0.96475,             0.68806,            0.024848,            0.036828,           0.0012491,           0.0077091,           0.0077091,           0.0077091
                 103,            0.026834,            0.038131,           0.0013292,             0.94955,             0.94528,             0.96501,             0.68804,            0.025012,            0.036834,           0.0012104,           0.0076679,           0.0076679,           0.0076679
                 104,            0.026559,            0.037943,            0.001281,             0.95327,             0.95256,             0.96821,             0.69503,             0.02462,            0.036265,            0.001147,           0.0076265,           0.0076265,           0.0076265
                 105,            0.026704,            0.038643,           0.0014486,             0.95375,             0.95034,             0.96927,             0.69093,            0.025019,            0.036448,            0.001199,           0.0075848,           0.0075848,           0.0075848
                 106,            0.026236,            0.037041,           0.0012716,             0.95063,             0.95136,             0.96743,             0.69083,            0.024828,            0.036717,           0.0011879,            0.007543,            0.007543,            0.007543
                 107,            0.026744,            0.037574,           0.0013811,             0.95039,             0.95232,             0.96835,             0.69325,            0.024961,            0.036674,           0.0012697,           0.0075009,           0.0075009,           0.0075009
                 108,             0.02608,            0.036358,           0.0013681,             0.95512,             0.94642,             0.96759,             0.69331,            0.024826,            0.036385,           0.0012829,           0.0074585,           0.0074585,           0.0074585
                 109,            0.026561,            0.036723,           0.0013398,             0.94671,             0.95134,             0.96681,              0.6894,            0.025016,            0.036138,           0.0012162,            0.007416,            0.007416,            0.007416
                 110,            0.026201,            0.036526,           0.0011994,             0.94414,             0.95128,             0.96631,             0.68911,            0.024814,            0.036673,           0.0011968,           0.0073733,           0.0073733,           0.0073733
                 111,            0.025664,            0.037004,           0.0013062,              0.9465,             0.95567,              0.9675,             0.69192,            0.024922,            0.036548,           0.0012216,           0.0073303,           0.0073303,           0.0073303
                 112,            0.026031,            0.037497,            0.001323,             0.94381,             0.95094,              0.9684,             0.69226,            0.024884,             0.03668,           0.0012487,           0.0072872,           0.0072872,           0.0072872
                 113,            0.026765,            0.037192,           0.0012468,             0.95315,             0.94006,             0.96681,             0.68827,            0.024885,            0.036482,           0.0011506,           0.0072438,           0.0072438,           0.0072438
                 114,            0.026505,            0.035867,           0.0011522,             0.95312,             0.95102,             0.96905,             0.68752,            0.025096,            0.037142,           0.0011608,           0.0072003,           0.0072003,           0.0072003
                 115,            0.025972,            0.036461,           0.0013744,             0.95519,             0.94746,             0.96886,             0.69201,            0.024746,            0.036942,           0.0012245,           0.0071566,           0.0071566,           0.0071566
                 116,            0.025534,            0.035852,            0.001208,             0.95248,             0.95202,             0.97062,               0.696,            0.024672,            0.036673,            0.001171,           0.0071127,           0.0071127,           0.0071127
                 117,             0.02577,            0.036135,           0.0012479,             0.95243,             0.94865,             0.96634,             0.69469,            0.024715,            0.036866,           0.0011684,           0.0070686,           0.0070686,           0.0070686
                 118,            0.025629,             0.03753,           0.0012919,             0.94873,             0.95176,             0.96609,             0.69371,            0.024701,            0.036801,           0.0011947,           0.0070243,           0.0070243,           0.0070243
                 119,            0.026279,            0.036612,            0.001276,              0.9483,             0.94907,             0.96746,             0.69544,            0.024717,            0.036936,             0.00125,           0.0069799,           0.0069799,           0.0069799
                 120,            0.025587,            0.036999,           0.0013085,             0.95391,             0.94558,             0.96752,             0.69574,            0.024521,            0.036558,           0.0011926,           0.0069353,           0.0069353,           0.0069353
                 121,            0.025563,            0.036662,            0.001211,             0.94245,              0.9557,             0.96921,             0.69435,            0.024763,            0.036686,           0.0011651,           0.0068906,           0.0068906,           0.0068906
                 122,            0.025811,            0.037092,           0.0011642,             0.95327,             0.94426,             0.96952,             0.69193,            0.024862,            0.036729,           0.0011473,           0.0068457,           0.0068457,           0.0068457
                 123,            0.025855,            0.036719,           0.0012593,             0.94719,             0.95113,             0.96969,             0.69106,            0.024756,            0.036459,           0.0011833,           0.0068006,           0.0068006,           0.0068006
                 124,            0.025639,            0.036314,           0.0012815,              0.9482,             0.95239,             0.96672,             0.69537,            0.024647,            0.036228,           0.0011983,           0.0067555,           0.0067555,           0.0067555
                 125,            0.025697,            0.038398,            0.001275,             0.95738,             0.95042,             0.97178,             0.69637,             0.02466,            0.035998,           0.0011962,           0.0067101,           0.0067101,           0.0067101
                 126,            0.024998,            0.035618,           0.0012319,             0.95142,             0.95211,             0.96918,             0.69603,            0.024533,            0.036329,           0.0011699,           0.0066647,           0.0066647,           0.0066647
                 127,             0.02479,            0.035651,           0.0011461,             0.95623,             0.94449,             0.96679,             0.69431,            0.024684,            0.036528,           0.0012133,           0.0066191,           0.0066191,           0.0066191
                 128,            0.024994,            0.036758,           0.0011954,             0.95054,              0.9446,             0.96684,             0.69671,             0.02453,            0.036389,           0.0012372,           0.0065734,           0.0065734,           0.0065734
                 129,            0.025356,            0.036926,           0.0011469,             0.95209,             0.94531,              0.9669,             0.70057,            0.024572,            0.036514,           0.0012143,           0.0065276,           0.0065276,           0.0065276
                 130,            0.025115,            0.037275,           0.0012064,             0.94204,             0.95611,             0.96775,             0.69383,            0.024623,            0.036499,           0.0011717,           0.0064816,           0.0064816,           0.0064816
                 131,            0.025507,            0.035392,           0.0011564,             0.95002,              0.9447,             0.96683,             0.69161,            0.024848,            0.036898,           0.0012068,           0.0064356,           0.0064356,           0.0064356
                 132,            0.025019,            0.036643,           0.0011258,             0.94652,             0.95112,               0.966,             0.69284,            0.024797,            0.036985,           0.0011829,           0.0063895,           0.0063895,           0.0063895
                 133,            0.024572,            0.035898,           0.0011968,             0.95212,             0.94949,             0.96832,             0.70193,            0.024492,            0.036622,           0.0011938,           0.0063432,           0.0063432,           0.0063432
                 134,            0.024918,            0.038082,           0.0012504,             0.95401,             0.95343,             0.96943,             0.69876,            0.024482,            0.036168,           0.0011924,           0.0062969,           0.0062969,           0.0062969
                 135,             0.02439,            0.036011,           0.0011751,              0.9495,             0.95232,             0.96535,             0.69792,            0.024445,            0.036424,           0.0011724,           0.0062505,           0.0062505,           0.0062505
                 136,            0.024742,            0.036242,           0.0012142,             0.95035,             0.95055,             0.96454,             0.69183,            0.024455,            0.036587,           0.0011688,            0.006204,            0.006204,            0.006204
                 137,             0.02481,            0.035314,           0.0011899,             0.95339,              0.9515,             0.96952,             0.69427,            0.024594,            0.036558,           0.0012094,           0.0061574,           0.0061574,           0.0061574
                 138,            0.024495,              0.0352,           0.0012074,             0.94778,             0.95555,             0.96813,             0.69907,            0.024314,            0.036558,           0.0011986,           0.0061107,           0.0061107,           0.0061107
                 139,            0.024351,             0.03592,           0.0011676,              0.9455,             0.95512,             0.96743,             0.69671,            0.024307,            0.036671,           0.0011804,            0.006064,            0.006064,            0.006064
                 140,            0.024196,            0.036432,            0.001262,             0.95503,             0.94553,             0.96711,              0.6972,            0.024437,            0.036876,           0.0011532,           0.0060172,           0.0060172,           0.0060172
                 141,            0.023992,            0.035258,           0.0010798,             0.95442,             0.94714,             0.96315,             0.69093,            0.024665,            0.036925,           0.0011659,           0.0059704,           0.0059704,           0.0059704
                 142,            0.024554,            0.035714,           0.0011088,             0.95358,             0.95153,             0.96652,              0.6974,            0.024494,            0.036361,           0.0011478,           0.0059235,           0.0059235,           0.0059235
                 143,            0.024901,            0.036645,            0.001221,             0.95621,             0.94705,             0.96876,              0.6982,            0.024517,            0.036799,           0.0011583,           0.0058766,           0.0058766,           0.0058766
                 144,            0.024229,            0.035336,           0.0011201,              0.9471,             0.95547,             0.96692,             0.69637,            0.024466,            0.036753,           0.0011527,           0.0058296,           0.0058296,           0.0058296
                 145,            0.024024,            0.035431,           0.0010926,              0.9466,             0.95299,             0.96819,             0.69808,            0.024524,            0.036767,           0.0011218,           0.0057826,           0.0057826,           0.0057826
                 146,            0.023936,            0.035248,           0.0010916,             0.95739,             0.94349,             0.96973,             0.69978,             0.02433,            0.036442,            0.001118,           0.0057355,           0.0057355,           0.0057355
                 147,            0.023817,            0.035122,           0.0010546,             0.95721,             0.94392,             0.96889,             0.69846,            0.024258,             0.03641,           0.0010947,           0.0056884,           0.0056884,           0.0056884
                 148,            0.024084,            0.034938,           0.0010878,             0.95295,             0.94241,             0.96463,             0.69917,            0.024242,            0.036988,           0.0010936,           0.0056413,           0.0056413,           0.0056413
